symbol,sentiment_score,sentiment_label,confidence,news_count,sample_headlines
POLICYBZR.NSE,0.0,neutral,0.5,0,[]
STAR.NSE,0.0,neutral,0.5,0,[]
ZOMATO.NSE,0.0,neutral,0.5,0,[]
ASTRAL.NSE,0.0,neutral,0.5,0,[]
BALKRISIND.NSE,0.0,neutral,0.5,0,[]
CUMMINSIND.NSE,0.0,neutral,0.5,0,[]
EXIDEIND.NSE,0.0,neutral,0.5,0,[]
HONAUT.NSE,0.0,neutral,0.5,0,[]
IPCALAB.NSE,0.0,neutral,0.5,0,[]
LICHSGFIN.NSE,0.0,neutral,0.5,0,[]
MAXHEALTH.NSE,0.0,neutral,0.5,0,[]
OBEROIRLTY.NSE,0.0,neutral,0.5,0,[]
TATACHEM.NSE,0.0,neutral,0.5,0,[]
